SKU,Quantity
00548312,0
005483123XL,0
00548312L,0
00548312M,0
00548312S,0
00548312XL,0
00548312XXL,0
00548318,0
005483183XL,0
00548318L,0
00548318M,0
00548318S,0
00548318XL,0
00548318XXL,0
00548340,0
005483403XL,0
00548340L,0
00548340M,0
00548340S,0
00548340XL,0
00548340XXL,0
00550312,0
00550312L,0
00550312M,0
00550312S,0
00550312XL,0
00550312XXL,0
00550318,3
00550318L,3
00550318M,0
00550318S,0
00550318XL,0
00550318XXL,0
00550340,0
00550340L,0
00550340M,0
00550340S,0
00550340XL,0
00550340XXL,0
00553148,486
00553148L,44
00553148M,48
00553148S,119
00553148XL,76
00553148XS,169
00553148XXL,30
00553151,958
00553151L,336
00553151M,315
00553151S,105
00553151XL,57
00553151XS,50
00553151XXL,95
00553170,484
00553170L,76
00553170M,80
00553170S,82
00553170XL,74
00553170XS,89
00553170XXL,83
00553222,451
00553222L,46
00553222M,41
00553222S,48
00553222XL,80
00553222XS,164
00553222XXL,72
00553258,396
00553258L,35
00553258M,21
00553258S,80
00553258XL,86
00553258XS,148
00553258XXL,26
00553288,220
00553288L,0
00553288M,4
00553288S,61
00553288XL,0
00553288XS,148
00553288XXL,7
00553321,220
00553321L,43
00553321M,22
00553321S,37
00553321XL,43
00553321XS,51
00553321XXL,24
00553348,241
00553348L,0
00553348M,7
00553348S,8
00553348XL,29
00553348XS,149
00553348XXL,48
00553407,489
00553407L,70
00553407M,72
00553407S,87
00553407XL,82
00553407XS,94
00553407XXL,84
00571102,366
005711023XL,0
005711024XL,0
005711025XL,0
00571102L,30
00571102M,17
00571102S,55
00571102XL,178
00571102XXL,86
00571115,0
005711153XL,0
005711154XL,0
005711155XL,0
00571115L,0
00571115M,0
00571115S,0
00571115XL,0
00571115XXL,0
00571145,0
005711453XL,0
005711454XL,0
005711455XL,0
00571145L,0
00571145M,0
00571145S,0
00571145XL,0
00571145XXL,0
00571146,0
005711463XL,0
005711464XL,0
005711465XL,0
00571146L,0
00571146M,0
00571146S,0
00571146XL,0
00571146XXL,0
00571200,0
005712003XL,0
005712004XL,0
005712005XL,0
00571200L,0
00571200M,0
00571200S,0
00571200XL,0
00571200XXL,0
00571241,5
005712413XL,2
005712414XL,0
005712415XL,0
00571241L,0
00571241M,0
00571241S,0
00571241XL,0
00571241XXL,3
00571264,0
005712643XL,0
005712644XL,0
005712645XL,0
00571264L,0
00571264M,0
00571264S,0
00571264XL,0
00571264XXL,0
00571272,0
005712723XL,0
005712724XL,0
005712725XL,0
00571272L,0
00571272M,0
00571272S,0
00571272XL,0
00571272XXL,0
00571301,0
005713013XL,0
005713014XL,0
00571301L,0
00571301M,0
00571301S,0
00571301XL,0
00571301XXL,0
00571312,0
005713123XL,0
005713124XL,0
005713125XL,0
00571312L,0
00571312M,0
00571312S,0
00571312XL,0
00571312XXL,0
00571319,0
005713193XL,0
005713194XL,0
005713195XL,0
00571319L,0
00571319M,0
00571319S,0
00571319XL,0
00571319XXL,0
00571360,0
005713603XL,0
005713604XL,0
005713605XL,0
00571360L,0
00571360M,0
00571360S,0
00571360XL,0
00571360XXL,0
00571384,0
005713843XL,0
005713844XL,0
005713845XL,0
00571384L,0
00571384M,0
00571384S,0
00571384XL,0
00571384XXL,0
00571400,0
005714003XL,0
005714004XL,0
005714005XL,0
00571400L,0
00571400M,0
00571400S,0
00571400XL,0
00571400XXL,0
00571712,0
005717123XL,0
005717124XL,0
005717125XL,0
00571712L,0
